No.;Time;;Time 1;Time 2;;Delay;Delay 1;Delay 2;;Jitter
150;38,841289;;38,841289;38,939093;;0,097804;0,08829;0,888604;;0,800314
151;38,939093;;38,939093;38,948607;;0,009514;-0,800314;-1,507444;;-0,70713
152;38,948607;;38,948607;39,758435;;0,809828;0,70713;0,608359;;-0,098771
153;39,758435;;39,758435;39,861133;;0,102698;0,098771;0,19204;;0,093269
154;39,861133;;39,861133;39,86506;;0,003927;-0,093269;-0,188006;;-0,094737
155;39,86506;;39,86506;39,962256;;0,097196;0,094737;0,909782;;0,815045
156;39,962256;;39,962256;39,964715;;0,002459;-0,815045;-1,530739;;-0,715694
157;39,964715;;39,964715;40,782219;;0,817504;0,715694;0,617945;;-0,097749
158;40,782219;;40,782219;40,884029;;0,10181;0,097749;0,191252;;0,093503
159;40,884029;;40,884029;40,88809;;0,004061;-0,093503;-0,187977;;-0,094474
160;40,88809;;40,88809;40,985654;;0,097564;0,094474;0,567934;;0,47346
161;40,985654;;40,985654;40,988744;;0,00309;-0,47346;-0,948823;;-0,475363
162;40,988744;;40,988744;41,465294;;0,47655;0,475363;0,914236;;0,438873
163;41,465294;;41,465294;41,466481;;0,001187;-0,438873;2,159637;;2,59851
164;41,466481;;41,466481;41,906541;;0,44006;-2,59851;-5,603715;;-3,005205
165;41,906541;;41,906541;44,945111;;3,03857;3,005205;5,114002;;2,108797
166;44,945111;;44,945111;44,978476;;0,033365;-2,108797;-4,048475;;-1,939678
167;44,978476;;44,978476;47,120638;;2,142162;1,939678;5,021532;;3,081854
168;47,120638;;47,120638;47,323122;;0,202484;-3,081854;-6,361589;;-3,279735
169;47,323122;;47,323122;50,60746;;3,284338;3,279735;3,279401;;-0,000334
170;50,60746;;50,60746;50,612063;;0,004603;0,000334;0,002969;;0,002635
171;50,612063;;50,612063;50,616332;;0,004269;-0,002635;-0,00409;;-0,001455
172;50,616332;;50,616332;50,623236;;0,006904;0,001455;0,010399;;0,008944
173;50,623236;;50,623236;50,628685;;0,005449;-0,008944;-0,023337;;-0,014393
174;50,628685;;50,628685;50,643078;;0,014393;0,014393;0,014394;;1E-06
175;50,643078;;50,643078;50,643078;;0;-1E-06;0,012902;;0,012903
176;50,643078;;50,643078;50,643079;;1E-06;-0,012903;-0,025806;;-0,012903
177;50,643079;;50,643079;50,655983;;0,012904;0,012903;0,012902;;-1E-06
178;50,655983;;50,655983;50,655984;;1E-06;1E-06;0,268478;;0,268477
179;50,655984;;50,655984;50,655984;;0;-0,268477;-0,536954;;-0,268477
180;50,655984;;50,655984;50,924461;;0,268477;0,268477;0,268477;;0
181;50,924461;;50,924461;50,924461;;0;0;0,007842;;0,007842
182;50,924461;;50,924461;50,924461;;0;-0,007842;-0,015684;;-0,007842
183;50,924461;;50,924461;50,932303;;0,007842;0,007842;0,012224;;0,004382
184;50,932303;;50,932303;50,932303;;0;-0,004382;-0,002868;;0,001514
185;50,932303;;50,932303;50,936685;;0,004382;-0,001514;0,002299;;0,003813
186;50,936685;;50,936685;50,942581;;0,005896;-0,003813;0,004651;;0,008464
187;50,942581;;50,942581;50,95229;;0,009709;-0,008464;-0,026636;;-0,018172
188;50,95229;;50,95229;50,970463;;0,018173;0,018172;0,018172;;0
189;50,970463;;50,970463;50,970464;;1E-06;0;1,16976;;1,16976
190;50,970464;;50,970464;50,970465;;1E-06;-1,16976;-1,41865;;-0,24889
191;50,970465;;50,970465;52,140226;;1,169761;0,24889;0,351373;;0,102483
192;52,140226;;52,140226;53,061097;;0,920871;-0,102483;1,840881;;1,943364
193;53,061097;;53,061097;54,084451;;1,023354;-1,943364;-1,943364;;0
194;54,084451;;54,084451;57,051169;;2,966718;;;;
195;57,051169;;;Total Delay;;57,051169;;Total Jitter;;2,966717
;;;;rata-rata Delay;;0,292570097;;rata-rata Jitter;;0,015213933
